CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
2,1.0,1.0,0.14285714,0.0,0.0,1.0,6.677e-05,1.0,3.0
3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
4,0.89285714,0.87969925,0.0,0.0,0.875,1.0,0.0,0.71428571,25.0
5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
6,1,0,1.0,1.0,0.0,0.0,0.00040048,1,0.0
7,0.38562092,0.51145038,0.0,0.0,0.5,1.0,0.0,0.23529412,59.0
8,1.0,1.0,0.03225806,0.0,0.0,1.0,3.341e-05,1.0,15.0
9,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
10,1,0,1.0,1.0,0.0,0.0,0.00080096,1,0.0
11,0.76190476,0.75,0.05882353,0.0,0.14285714,1.0,5.728e-05,0.5,8.0
12,1,0,1.0,1.0,0.0,0.0,0.00040048,1,0.0
13,1,0,1.0,1.0,0.0,0.0,0.00080096,1,0.0
14,1,0,1.0,1.0,0.0,0.0,0.00060072,1,0.0
15,1,0,1.0,1.0,0.0,0.0,0.00020024,1,0.0
16,1.0,0,0.75,1.0,0.0,0.0,0.00060084,1.0,0.16666667
17,1,0,1.0,1.0,0.0,0.0,0.00060072,1,0.0
18,0.29,0.38665132,0.16746411,0.04,0.36,1.0,0.00028169,0.16666667,2.48571429
19,0.26780627,0.40501792,0.21008403,0.03703704,0.33333333,1.0,0.00037276,0.15384615,1.88
20,1,0,1.0,1.0,0.0,0.0,0.00080096,1,0.0
21,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
22,0.26666667,0.37190083,0.38461538,0.1875,0.3125,0.9375,0.00050211,0.13333333,0.8
23,0.4,0,0.61904762,0.8,0.0,0.0,0.00052104,0.25,0.30769231
24,0.66666667,0,0.2,0.0,0.0,0.0,6.677e-05,0.5,2.0
25,1,0,1.0,1.0,0.0,0.0,0.00040048,1,0.0
26,0.85714286,0.84615385,0.0,0.0,0.57142857,1.0,0.0,0.66666667,18.0
27,1,0,1.0,1.0,0.0,0.0,0.00040048,1,0.0
28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
29,0.95238095,0.94736842,0.0,0.0,0.71428571,1.0,0.0,0.83333333,20.0
30,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
31,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
32,1.0,0,0.71428571,1.0,0.0,0.0,0.0005007,1.0,0.2
33,1.0,1.0,0.5,0.0,0.0,1.0,0.00040064,1.0,0.5
34,1,0,1.0,1.0,0.0,0.0,0.00040048,1,0.0
35,1,0,1.0,1.0,0.0,0.0,0.00060072,1,0.0
36,1,0,1.0,1.0,0.0,0.0,0.00060072,1,0.0
37,1,0,1.0,1.0,0.0,0.0,0.00020024,1,0.0
38,1,0,1.0,1.0,0.0,0.0,0.00080096,1,0.0
39,1,0,1.0,1.0,0.0,0.0,0.00040048,1,0.0
40,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
41,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
42,0.80952381,0.81428571,0.0,0.0,0.42857143,1.0,0.0,0.5,17.0
43,1,0,1.0,1.0,0.0,0.0,0.00060072,1,0.0
44,1,0,1.0,1.0,0.0,0.0,0.00060072,1,0.0
45,1,0,1.0,1.0,0.0,0.0,0.00080096,1,0.0
46,1,0,1.0,1.0,0.0,0.0,0.00060072,1,0.0
47,1,0,1.0,1.0,0.0,0.0,0.00060072,1,0.0
48,0.66666667,0.6,0.38461538,0.25,0.0,0.75,0.00025045,0.33333333,0.8
49,1,0,1.0,1.0,0.0,0.0,0.00040048,1,0.0
50,1,0,1.0,1.0,0.0,0.0,0.00020024,1,0.0
51,0.55555556,0.53846154,0.0,0.0,0.11111111,1.0,0.0,0.375,20.0
52,1,0,1.0,1.0,0.0,0.0,0.00060072,1,0.0
53,0.8,0.78947368,0.0,0.0,0.0,1.0,0.0,0.6,12.0
54,1,0,1.0,1.0,0.0,0.0,0.00060072,1,0.0
55,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
56,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
57,0.66666667,0.69827586,0.04,0.0,0.33333333,1.0,4.457e-05,0.375,12.0
58,1.0,1.0,0.6,1.0,0.0,1.0,0.00060096,1.0,0.33333333
59,1,0,1.0,1.0,0.0,0.0,0.00080096,1,0.0
60,1,0,1.0,1.0,0.0,0.0,0.00060072,1,0.0
61,1,0,1.0,1.0,0.0,0.0,0.00040048,1,0.0
62,0.43589744,0.51515152,0.2688172,0.15384615,0.23076923,1.0,0.00038601,0.25,1.36
63,0.65454545,0.71162791,0.0,0.0,0.72727273,1.0,0.0,0.4,36.0
64,0.31384615,0.40759494,0.03773585,0.0,0.34615385,1.0,6.192e-05,0.16,12.75
65,0.29004329,0.41304348,0.28723404,0.13636364,0.31818182,1.0,0.00049357,0.0952381,1.24074074
66,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
67,1,0,1.0,1.0,0.0,0.0,0.00040048,1,0.0
68,1,0,1.0,1.0,0.0,0.0,0.00060072,1,0.0
69,1,0,1.0,1.0,0.0,0.0,0.00060072,1,0.0
70,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
71,1,0,1.0,1.0,0.0,0.0,0.00080096,1,0.0
72,0.55238095,0.64383562,0.0,0.0,0.8,1.0,0.0,0.35714286,58.0
73,1,0,1.0,1.0,0.0,0.0,0.00040048,1,0.0
74,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
75,0.53846154,0.60185185,0.04854369,0.0,0.57142857,1.0,7.17e-05,0.38461538,9.8
76,1,0,1.0,1.0,0.0,0.0,0.00080096,1,0.0
