CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,0.80952381,0.82608696,0.10526316,0.0,0.28571429,1.0,0.00022921,0.5,4.25
2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
3,0.42424242,0.53191489,0.45098039,0.25,0.25,0.83333333,0.00154073,0.09090909,0.60869565
4,1,0,1.0,1.0,0.0,0.0,0.00120048,1,0.0
5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
6,1,0,1.0,1.0,0.0,0.0,0.00080032,1,0.0
7,0.66666667,0.69827586,0.04,0.0,0.33333333,1.0,8.921e-05,0.375,12.0
8,1,0,1.0,1.0,0.0,0.0,0.00080032,1,0.0
9,0.53846154,0.60185185,0.04854369,0.0,0.57142857,1.0,0.00014366,0.38461538,9.8
10,0.7,0.64285714,0.0,0.0,0.0,1.0,0.0,0.5,7.0
11,0.62222222,0.64748201,0.03448276,0.0,0.5,1.0,8.032e-05,0.33333333,14.0
12,1,0,1.0,1.0,0.0,0.0,0.00120048,1,0.0
13,1,0,1.0,1.0,0.0,0.0,0.00040016,1,0.0
14,0.4,0.45,0.20754717,0.06666667,0.4,1.0,0.00059021,0.21428571,1.90909091
15,0.42857143,0.33333333,0.47826087,0.25,0.25,0.75,0.00110353,0.28571429,0.54545455
16,0.62820513,0.70786517,0.0,0.0,0.76923077,1.0,0.0,0.33333333,49.0
17,0.76190476,0.76190476,0.0,0.0,0.42857143,1.0,0.0,0.5,16.0
18,0.62121212,0.67777778,0.19607843,0.0,0.58333333,1.0,0.00066988,0.36363636,2.05
19,0.44166667,0.56973294,0.01851852,0.0,0.5625,1.0,5.032e-05,0.26666667,26.5
20,1,0,1.0,1.0,0.0,0.0,0.00080032,1,0.0
21,0.66666667,0.57692308,0.0,0.0,0.0,1.0,0.0,0.4,10.0
22,0.86111111,0.87301587,0.0,0.0,0.77777778,1.0,0.0,0.625,31.0
23,1,0,1.0,1.0,0.0,0.0,0.00160064,1,0.0
24,0.71428571,0.67924528,0.16666667,0.0,0.14285714,1.0,0.00034382,0.5,2.5
25,0.7,0.6,0.0,0.0,0.0,1.0,0.0,0.5,7.0
26,0.36190476,0.49308756,0.12643678,0.04761905,0.47619048,1.0,0.0004226,0.1,3.45454545
27,1,0,1.0,1.0,0.0,0.0,0.00120048,1,0.0
28,1,0,1.0,1.0,0.0,0.0,0.00120048,1,0.0
29,0.83333333,0.75,0.0,0.0,0.0,1.0,0.0,0.66666667,5.0
30,0.39869281,0.54140127,0.11594203,0.0,0.44444444,1.0,0.00035813,0.17647059,3.8125
31,1,0,1.0,1.0,0.0,0.0,0.00160064,1,0.0
32,0.47058824,0.56785714,0.06569343,0.0,0.35294118,1.0,0.00021321,0.1875,7.11111111
33,1,0,1.0,1.0,0.0,0.0,0.00120048,1,0.0
34,0.73333333,0.67741935,0.0,0.0,0.0,1.0,0.0,0.6,11.0
35,1,0,1.0,1.0,0.0,0.0,0.00040016,1,0.0
36,0.71428571,0.70909091,0.0625,0.0,0.28571429,1.0,0.00011461,0.5,7.5
