CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,1.0,0,0.6,0.5,0.0,0.0,0.0003003,1.0,0.33333333
2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
3,1.0,0,0.66666667,1.0,0.0,0.0,0.0004004,1.0,0.25
4,0.44444444,0.84507042,0.3442623,0.4,0.1,0.6,0.00042109,0.11111111,0.95238095
5,1.0,1.0,0.33333333,0.0,0.0,1.0,0.00020024,1.0,1.0
6,1.0,1.0,0.45454545,0.0,0.0,1.0,0.00033373,1.0,0.6
7,1,0,1.0,1.0,0.0,0.0,0.00040032,1,0.0
8,1.0,1.0,0.13043478,0.0,0.0,1.0,0.00012019,1.0,3.33333333
9,1.0,0,0.5,0.0,0.0,0.0,0.0002002,1.0,0.5
10,1.0,1.0,0.21052632,0.0,0.0,1.0,0.00026715,1.0,1.875
11,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
12,0.78571429,0.82857143,0.12,0.0,0.375,1.0,0.00015033,0.57142857,3.66666667
13,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
14,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
15,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
16,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
17,1.0,1.0,0.07142857,0.0,1.0,1.0,0.00020068,1.0,6.5
18,1,0,1.0,1.0,0.0,0.0,0.00020016,1,0.0
19,0.86666667,0.86666667,0.0,0.0,0.0,1.0,0.0,0.6,13.0
20,0.73333333,0.75,0.0,0.0,0.0,1.0,0.0,0.6,11.0
21,0.91111111,0.92,0.0,0.0,1.0,1.0,0.0,0.77777778,41.0
22,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
23,0.9047619,0.90697674,0.0952381,0.0,0.57142857,1.0,0.00011451,0.66666667,4.75
24,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
25,1.0,1.0,0.09090909,0.0,0.0,1.0,8.013e-05,1.0,5.0
26,1.0,1.0,0.5,0.0,0.0,1.0,0.00040048,1.0,0.5
27,1.0,0,0.5,0.0,0.0,0.0,0.0002002,1.0,0.5
28,1.0,1.0,0.33333333,0.0,0.0,1.0,0.00020024,1.0,1.0
29,1,0,1.0,1.0,0.0,0.0,0.00020016,1,0.0
30,1.0,1.0,0.5,0.0,0.0,1.0,0.00040048,1.0,0.5
31,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
32,0.86666667,0.86666667,0.0,0.0,0.0,1.0,0.0,0.6,13.0
33,1.0,0,0.5,0.0,0.0,0.0,0.0002002,1.0,0.5
34,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
35,0.73333333,0.75,0.0,0.0,0.0,1.0,0.0,0.6,11.0
36,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
37,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,45.0
38,0.78571429,0.82857143,0.06382979,0.0,0.5,1.0,7.517e-05,0.42857143,7.33333333
39,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
40,1.0,0,0.6,0.5,0.0,0.0,0.0003003,1.0,0.33333333
41,0.53333333,0.52941176,0.0,0.0,0.0,1.0,0.0,0.4,8.0
42,1.0,1.0,0.07692308,0.0,0.0,1.0,5.007e-05,1.0,6.0
43,1,0,1.0,1.0,0.0,0.0,0.00040032,1,0.0
44,0.8,0.78947368,0.11111111,0.0,0.0,1.0,8.013e-05,0.5,4.0
45,1,0,1.0,1.0,0.0,0.0,0.00060048,1,0.0
46,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
47,0.66666667,0,0.63636364,0.66666667,0.0,0.0,0.00046723,0.5,0.28571429
48,1.0,0,0.6,0.5,0.0,0.0,0.0003003,1.0,0.33333333
49,1.0,0,0.66666667,1.0,0.0,0.0,0.0004004,1.0,0.25
50,0.86666667,0.86666667,0.0,0.0,0.0,1.0,0.0,0.6,13.0
51,1.0,0,0.5,0.0,0.0,0.0,0.0002002,1.0,0.5
52,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
53,1,0,1.0,1.0,0.0,0.0,0.00040032,1,0.0
54,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
55,0.66666667,0.6,0.2,0.25,0.0,0.75,0.00010014,0.33333333,2.0
56,1.0,0,0.5,0.0,0.0,0.0,0.0002002,1.0,0.5
57,0.44444444,0.6122449,0.13513514,0.11111111,0.11111111,0.88888889,0.00011138,0.125,3.2
58,0.86666667,0.86666667,0.0,0.0,0.0,1.0,0.0,0.6,13.0
59,1,0,1.0,1.0,0.0,0.0,0.00040032,1,0.0
60,0.67857143,0.76923077,0.02564103,0.0,0.25,1.0,2.506e-05,0.57142857,19.0
61,1.0,1.0,0.25,0.0,0.0,1.0,0.00020028,1.0,1.5
62,1,0,1.0,1.0,0.0,0.0,0.00020016,1,0.0
63,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
64,1.0,1.0,0.11111111,0.0,1.0,1.0,0.00020048,1.0,4.0
65,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
66,1.0,0,0.5,0.0,0.0,0.0,0.0002002,1.0,0.5
67,1.0,1.0,0.2,0.0,0.0,1.0,0.00020032,1.0,2.0
68,0.83333333,0.86440678,0.0,0.0,0.77777778,1.0,0.0,0.625,30.0
69,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
70,1.0,1.0,0.25,0.0,0.0,1.0,0.00020028,1.0,1.5
71,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
72,1.0,1.0,0.53846154,0.33333333,0.0,1.0,0.00046723,1.0,0.42857143
73,0.8,0.78947368,0.11111111,0.0,0.0,1.0,8.013e-05,0.5,4.0
74,1.0,1.0,0.03225806,0.0,0.0,1.0,3.339e-05,1.0,15.0
