CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,1.0,1.0,0.09090909,0.0,0.0,1.0,0.00016032,1.0,5.0
2,0.66666667,0.6,0.2,0.25,0.0,0.75,0.00020032,0.33333333,2.0
3,0.66666667,0.6,0.27272727,0.25,0.0,0.75,0.00030048,0.33333333,1.33333333
4,1.0,1.0,0.4,0.0,0.0,1.0,0.00080128,1.0,0.75
5,1.0,1.0,0.31034483,0.0,0.0,1.0,0.00072144,1.0,1.11111111
6,0.61904762,0.64285714,0.07142857,0.0,0.14285714,1.0,0.00011461,0.33333333,6.5
7,1,0,1.0,1.0,0.0,0.0,0.00040016,1,0.0
8,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
9,1.0,1.0,0.4,0.0,0.0,1.0,0.00053397,1.0,0.75
10,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
11,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
12,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
13,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
14,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
15,1,0,1.0,1.0,0.0,0.0,0.00080032,1,0.0
16,1.0,1.0,0.0625,0.0,0.0,1.0,0.00013365,1.0,7.5
17,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
18,1.0,0,0.66666667,1.0,0.0,0.0,0.00080064,1.0,0.25
19,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,66.0
20,1.0,1.0,0.45945946,0.2,0.0,1.0,0.00136273,1.0,0.58823529
21,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
22,1.0,1.0,0.04761905,0.0,0.0,1.0,8.016e-05,1.0,10.0
23,1.0,0,0.5,0.0,0.0,0.0,0.00040032,1.0,0.5
24,1.0,1.0,0.13043478,0.0,0.0,1.0,0.00024048,1.0,3.33333333
25,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00020032,1.0,3.0
26,1,0,1.0,1.0,0.0,0.0,0.00040016,1,0.0
27,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,45.0
28,1.0,1.0,0.33333333,0.0,0.0,1.0,0.00040048,1.0,1.0
29,1.0,1.0,0.4,0.0,0.0,1.0,0.00080128,1.0,0.75
30,1.0,1.0,0.45454545,0.0,0.0,1.0,0.00066747,1.0,0.6
31,1.0,1.0,0.33333333,0.0,0.0,1.0,0.00040048,1.0,1.0
32,0.61904762,0.69230769,0.07142857,0.0,0.14285714,1.0,0.00011461,0.5,6.5
33,0.80952381,0.81428571,0.10526316,0.0,0.42857143,1.0,0.00022921,0.5,4.25
34,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
35,1,0,1.0,1.0,0.0,0.0,0.00080032,1,0.0
36,1.0,1.0,0.19230769,0.0,1.0,1.0,0.00057303,1.0,2.1
37,0.9047619,0.90697674,0.0952381,0.0,0.57142857,1.0,0.00022921,0.66666667,4.75
38,1,0,1.0,1.0,0.0,0.0,0.00080032,1,0.0
39,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
40,1.0,0,0.5,0.0,0.0,0.0,0.00040032,1.0,0.5
41,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00033414,1.0,3.0
42,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
43,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
44,1,0,1.0,1.0,0.0,0.0,0.00080032,1,0.0
45,0.53846154,0.96514745,0.18333333,0.28571429,0.71428571,0.71428571,0.00063211,0.07692308,2.22727273
46,1.0,0,0.5,0.0,0.0,0.0,0.00040032,1.0,0.5
